Model,CV_Mean_Acc,Test_Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9395533352923892,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9918864097363083
Decision Tree,0.917631501616221,0.9423076923076923,0.9406078939786805,0.9423076923076923,0.9408326048951049,0.8708586883029072
Random Forest,0.8815456949750221,0.875,0.89125,0.875,0.8406544435956201,0.9384719405003381
Logistic Regression,0.8136937995885983,0.8076923076923077,0.8167897118361516,0.8076923076923077,0.8119161200556549,0.7518593644354293
SVM,0.840317367029092,0.8365384615384616,0.7987637362637362,0.8365384615384616,0.8023095001355872,0.7525354969574037
KNN,0.5469291801351749,0.5192307692307693,0.7981964363320295,0.5192307692307693,0.5755888847994112,0.6825557809330629
